listing_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
46819851,0,280,446,West Cambridge,42.3732734574033,-71.1239283637122,4,3.0,3.0,160.0,29,365,4.89,4.81,4.73,4.89,4.97,4.97,4.73,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,0,1,1,29,0,0,0,0,1,0.5753424657534246
46820093,0,280,446,West Cambridge,42.37475117418044,-71.12255925275531,5,4.0,0.0,170.0,29,365,4.33,4.33,4.67,4.58,4.83,4.67,4.5,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,31,0,0,0,0,1,0.4438356164383562
46822729,1,262,1126,Cambridgeport,42.35918,-71.10225,3,1.0,1.0,230.0,30,270,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,12,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,0,0,0.9835616438356164
46830770,1,20,28,Mid-Cambridge,42.370998,-71.101067,4,1.0,2.0,234.0,2,420,4.92,4.9,4.98,4.98,4.97,4.92,4.74,0,16,1.0,0.0,False,True,1,1,1,1,1,0,1,1,1,1,58,0,1,0,1,1,0.9232876712328768
46831036,1,20,28,Mid-Cambridge,42.3709,-71.10104,2,1.0,1.0,170.0,2,420,4.95,4.95,4.88,4.91,4.99,4.9,4.77,0,16,1.5,1.0,False,True,1,1,1,1,1,1,1,1,0,1,44,0,1,0,1,1,0.936986301369863
46831184,1,20,28,Mid-Cambridge,42.3709,-71.10104,2,1.0,1.0,170.0,2,420,4.9,4.91,4.91,4.94,4.97,4.96,4.64,0,16,1.0,1.0,False,True,1,1,1,1,1,1,1,1,0,1,47,0,1,0,1,1,0.9315068493150684
46903645,0,280,446,West Cambridge,42.37330155527035,-71.1222299102432,4,3.0,3.0,170.0,29,365,4.33,4.5,4.83,4.83,4.83,5.0,4.33,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,32,0,0,0,0,1,0.5917808219178082
46956721,0,5143,5933,North Cambridge,42.3980055,-71.13021660000001,4,2.0,2.0,253.0,32,1125,3.33,4.33,4.33,3.67,3.33,5.0,2.67,1,169,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,0,0,0,0,1,1.0
47223523,1,11,19,Mid-Cambridge,42.37043,-71.10384,4,1.0,2.0,377.0,1,30,4.83,4.9,4.9,5.0,5.0,4.9,4.57,1,11,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,44,1,0,0,1,1,0.6712328767123288
47757097,0,23,24,North Cambridge,42.39443,-71.12707,2,1.0,1.0,184.0,1,54,4.64,4.66,4.77,4.79,4.73,4.84,4.59,1,23,1.0,0.0,False,True,1,1,1,0,0,0,0,0,0,0,13,1,0,0,0,1,0.4821917808219178
47770402,0,280,446,West Cambridge,42.37290246317146,-71.12210190276787,5,4.0,4.0,178.0,29,365,4.76,4.67,4.71,4.81,4.95,5.0,4.48,0,97,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,30,0,0,0,0,1,0.4438356164383562
47936576,1,6,7,East Cambridge,42.37066,-71.08264,2,1.0,1.0,184.0,2,93,4.91,4.89,4.97,4.89,4.89,4.89,4.8,0,4,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,62,0,1,0,1,1,0.421917808219178
