id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_clean,has_license,has_review
1412038031522771516,0,116,206,North Cambridge,42.39397771933317,-71.13448394357422,Entire rental unit,2,1.0,1.0,167.0,30,730,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,10,1.0,0.0,False,False,1,1,1,0,1,1,1,1,1,1,39,Apartment,0,1
1415216786287737301,1,2,5,Riverside,42.3667861725158,-71.11202195101465,Entire home,2,1.0,1.0,195.0,31,90,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,37,House,1,0
1416639675161781755,1,9,13,East Cambridge,42.36834,-71.07285,Entire condo,14,3.0,8.0,1030.0,2,28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,3,3.5,0.0,False,False,1,1,1,1,1,0,1,1,1,1,63,Apartment,0,1
1419735548525932997,1,5,10,Neighborhood Nine,42.3868339,-71.1304754,Entire rental unit,3,1.0,1.0,175.0,1,365,5.0,4.8,4.2,4.8,5.0,5.0,4.8,0,4,1.0,0.0,False,False,1,0,1,1,0,0,0,1,1,0,15,Apartment,1,1
1419873832133387968,0,1,1,West Cambridge,42.38176,-71.13362,Entire rental unit,4,2.0,2.0,243.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,4.86,0,1,1.0,0.0,False,False,1,1,1,1,1,0,1,1,1,1,39,Apartment,0,1
1425310306953110245,0,5143,5933,Cambridgeport,42.3598515,-71.1010452,Entire rental unit,2,1.0,1.0,341.0,31,1125,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,169,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,33,Apartment,0,0
1426970163931579930,0,169,234,East Cambridge,42.37193595827412,-71.08413602769397,Entire rental unit,9,3.0,4.0,400.0,30,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,0,83,3.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,34,Apartment,1,0
1432631054379149017,0,1,1,The Port,42.36584019081225,-71.09619095823709,Entire condo,6,3.0,5.0,494.0,1,365,5.0,5.0,5.0,5.0,5.0,4.95,4.85,0,1,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,49,Apartment,0,1
1436606286275785751,1,4,4,Wellington-Harrington,42.36704334718992,-71.09000398203258,Entire rental unit,9,3.0,3.0,567.0,1,1125,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,3,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,73,Apartment,1,1
1439185048991318612,0,55,56,Riverside,42.36435101456584,-71.10764426279435,Private room in home,2,1.0,1.0,92.0,1,365,4.33,4.4,4.2,4.67,4.73,4.67,4.33,1,16,2.0,1.0,False,True,0,0,1,1,0,1,1,0,0,1,15,House,0,1
1439319821021536444,0,1,1,Cambridge Highlands,42.39325,-71.1546,Entire rental unit,6,2.0,3.0,170.0,1,365,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,53,Apartment,0,1
1441219938820751653,1,4,4,Wellington-Harrington,42.36899004619023,-71.09257401678133,Entire rental unit,7,3.0,3.0,429.0,20,365,4.86,4.89,4.87,4.95,4.945,4.93,4.72,1,3,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,59,Apartment,1,0
1442190452341432060,1,2,2,The Port,42.36513599766357,-71.09967326739692,Entire rental unit,4,2.0,3.0,295.0,1,1125,5.0,5.0,5.0,4.96,5.0,4.88,4.92,0,2,1.0,0.0,False,False,1,1,1,1,1,0,1,1,1,1,48,Apartment,0,1
1443555192209357989,0,55,56,Cambridgeport,42.36376674947783,-71.10858210219482,Private room in home,2,1.0,2.0,97.0,1,365,4.33,4.33,4.0,3.67,5.0,5.0,4.0,1,16,2.0,1.0,False,True,0,0,1,1,0,1,1,0,0,1,15,House,0,1
1443585853586366833,0,55,56,Riverside,42.36365,-71.10966,Private room in home,2,1.0,1.0,116.0,1,365,5.0,5.0,4.5,5.0,5.0,5.0,5.0,1,16,2.0,1.0,False,True,0,0,1,1,0,1,1,0,0,1,15,House,0,1
1444283083184036321,0,1,1,East Cambridge,42.36490729073046,-71.08319520950317,Entire rental unit,3,1.0,2.0,195.0,3,90,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,1.0,0.0,False,False,1,1,1,1,1,0,1,1,1,1,32,Apartment,0,1
