host_is_superhost,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,price,minimum_nights,maximum_nights,review_scores_rating,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
1,The Port,42.36978149414063,-71.1005630493164,6,3.0,313.0,5,365,4.68,0,3,3.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,42,0,0,0,1,1,0.8575342465753425
1,The Port,42.36976,-71.09942,4,2.0,199.0,30,400,4.59,0,3,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,29,0,0,0,0,1,0.673972602739726
1,The Port,42.37046432495117,-71.09992980957031,5,2.0,218.0,5,360,4.63,0,3,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,42,0,0,0,1,1,0.7424657534246575
1,North Cambridge,42.39656,-71.13562,5,2.0,159.0,1,1125,4.94,0,7,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,67,0,0,0,1,1,0.6027397260273972
0,North Cambridge,42.39425,-71.13481,3,2.0,174.0,1,365,5.0,0,1,1.0,0.0,False,False,1,1,1,1,1,0,1,0,1,1,48,0,0,0,0,1,0.2191780821917808
0,Agassiz,42.38339,-71.11603,3,1.0,243.0,4,1125,4.88,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,0,33,0,0,0,1,1,0.6356164383561644
1,Mid-Cambridge,42.3677,-71.10584,4,1.0,261.0,2,120,4.9,1,9,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,56,0,0,0,1,1,0.4493150684931506
1,Neighborhood Nine,42.38832,-71.13893,6,3.0,333.0,30,255,4.85,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,35,0,0,0,1,1,0.4383561643835616
0,Neighborhood Nine,42.38577,-71.13065,4,2.0,400.0,2,1125,4.81,0,2,1.0,0.0,False,False,1,1,1,0,1,1,0,1,0,1,20,0,0,0,1,1,0.0876712328767123
1,Mid-Cambridge,42.37095,-71.1064,1,1.0,64.0,1,45,4.8,0,3,2.0,1.0,False,True,0,0,1,1,1,1,0,1,1,1,16,0,1,0,0,1,0.0383561643835616
0,Mid-Cambridge,42.3707,-71.10787,6,2.0,332.0,91,1125,4.88,0,1,2.0,0.0,False,False,1,1,1,0,1,1,0,1,1,0,17,0,0,0,0,1,0.9972602739726028
1,Neighborhood Nine,42.38764,-71.1387,7,3.0,332.0,30,270,4.89,0,10,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,40,0,0,0,1,1,0.3041095890410959
0,Cambridgeport,42.36026,-71.11455,1,1.0,65.0,91,730,4.88,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,69,0,0,0,0,1,0.7863013698630137
1,Cambridgeport,42.35769,-71.10946,2,1.0,177.0,1,28,4.87,0,4,1.0,0.0,False,False,1,1,1,1,1,1,0,0,1,1,27,0,0,0,1,1,0.1342465753424657
0,Mid-Cambridge,42.37337,-71.1123,6,2.0,275.0,30,1124,4.78,0,83,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,26,0,0,0,0,1,0.9205479452054794
1,Cambridgeport,42.36238,-71.11187,2,0.0,124.0,14,30,4.85,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,28,0,0,0,1,1,0.8383561643835616
1,East Cambridge,42.37074,-71.08328,1,1.0,113.0,3,90,4.66,0,4,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,40,0,0,0,1,1,0.9123287671232876
1,Strawberry Hill,42.37773,-71.1497,10,5.0,546.0,2,1125,4.86,0,6,2.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,36,0,0,0,1,1,0.210958904109589
1,Cambridgeport,42.35961,-71.11068,1,1.0,88.0,2,21,4.98,0,1,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,47,0,1,0,1,1,0.0246575342465753
1,Strawberry Hill,42.37779,-71.14975,2,1.0,101.0,1,1125,4.89,0,6,1.0,1.0,False,True,1,1,1,1,1,1,0,1,1,0,23,0,0,0,1,1,0.0191780821917808
